Fun,pair,diff,lwr,upr,p adj,p1.f,p1.pH,p2.f,p2.pH,key
C,7:H-5:H,-0.5942581104213529,-0.9481287470221709,-0.240387473820535,5.07466352656083e-5,H,7,H,5,r
C,7:L-5:L,-0.5264977640923338,-0.9641274163874446,-0.08886811179722309,0.008241140510857003,L,7,L,5,r
H,7:A-5:A,-0.3826325398703444,-0.5393974311037035,-0.2258676486369853,4.033697931227209e-9,A,7,A,5,r
H,7:C-5:C,-0.21020773508906787,-0.35771813887080073,-0.06269733130733501,8.380143314089539e-4,C,7,C,5,r
H,7:L-5:L,-0.3664988491797466,-0.5104965965939843,-0.222501101765509,1.0926811677691717e-9,L,7,L,5,r
H,7:P-5:P,-0.2986967646478971,-0.43445914287749055,-0.16293438641830363,8.30058590750582e-8,P,7,P,5,r
L,7:P-5:P,0.14238183006749194,0.0027714420271056917,0.2819922181078782,0.04247376381359902,P,7,P,5,r
P,7:C-5:C,-0.20455735348406212,-0.3129131888044744,-0.09620151816364987,3.128890388337524e-6,C,7,C,5,r
A,7:C-5:C,0.8671700275106424,0.31755220806150897,1.4167878469597759,1.4699480866220416e-4,C,7,C,5,K
C,7:A-5:A,-0.21644809967289025,-0.415226637029005,-0.017669562316775494,0.023555860359472214,A,7,A,5,K
C,7:H-5:H,-0.987046874544895,-1.1972659672616581,-0.776827781828132,1.9888646285437517e-11,H,7,H,5,K
C,7:L-5:L,-1.074621005925555,-1.3345976723569342,-0.8146443394941758,1.9892643088326167e-11,L,7,L,5,K
H,7:C-5:C,0.6927191455208139,0.4419678339070815,0.9434704571345464,8.527745176678536e-11,C,7,C,5,K
H,7:L-5:L,-0.4741898137959879,-0.7189699995174677,-0.2294096280745082,2.1632770595969575e-6,L,7,L,5,K
L,7:A-5:A,0.21174700430914606,0.03279458195735788,0.39069942666093427,0.009888353310508968,A,7,A,5,K
L,7:C-5:C,0.43555076658474245,0.2015040992149617,0.6695974339545232,5.644167700880054e-6,C,7,C,5,K
L,7:H-5:H,-0.5104146107946947,-0.6951598666525707,-0.3256693549368188,9.651479615513381e-11,H,7,H,5,K
P,7:A-5:A,-0.25015814614493004,-0.45953084806140354,-0.04078544422845651,0.00863610501621681,A,7,A,5,K
P,7:C-5:C,-0.4407801179921558,-0.6558901205810489,-0.22567011540326262,3.9883643432325755e-7,C,7,C,5,K
P,7:H-5:H,-0.620105459884581,-0.8294781618010545,-0.4107327579681075,0,H,7,H,5,K
P,7:L-5:L,-0.26106613066116036,-0.47043883257763386,-0.051693428744686826,0.005154229564416579,L,7,L,5,K
